Segment;Number;m (%);X (%);Y (%);Z (%);rxx (%);ryy (%);rzz (%);rxy (%);rxz (%);ryz (%)
Head & Neck;1;6.7;2;53.4;0.1;28;21;30;7i;2i;3
Thorax;2;30.4;0;-55.5;-0.4;42;33;36;11i;1;3
Abdomen;3;2.9;17.6;-36.1;-3.3;54;66;40;11;6i;5i
Rigth Arm;4;2.4;1.8;-48.2;-3.1;29;13;30;5;3;13i
Rigth Forearm;5;1.7;-1.3;-41.7;1.1;28;11;28;8;1i;2
Rigth Hand;6;0.6;8.2;-83.9;7.5;61;38;56;22;15;20i
Left Arm;7;2.4;1.8;-48.2;-3.1;29;13;30;5;3;13i
Left Forearm;8;1.7;-1.3;-41.7;1.1;28;11;28;8;1i;2
Left Hand;9;0.6;8.2;-83.9;7.5;61;38;56;22;15;20i
Pelvis;10;14.2;-0.2;-28.2;-0.6;102;106;96;25i;12i;8i
Rigth Thigh;11;12.3;-4.1;-42.9;3.3;29;15;30;7;2i;7i
Rigth Leg;12;4.8;-4.8;-41;0.7;28;10;28;4i;2i;4
Rigth Foot;13;1.2;50.2;-19.9;3.4;22;49;48;17;11i;0
Left Thigh;14;12.3;-4.1;-42.9;3.3;29;15;30;7;2i;7i
Left Leg;15;4.8;-4.8;-41;0.7;28;10;28;4i;2i;4
Left Foot;16;1.2;50.2;-19.9;3.4;22;49;48;17;11i;0
